Time: 0.4, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 0.5, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 0.6, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 0.7, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 0.8, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 0.9, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 1.0, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 1.1, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 1.2, Position: (0, 0, 0), Velocities: (0, 0, 0)
Time: 1.4, Position: (0, 0, 1), Velocities: (0, 0, 1)
Time: 1.5, Position: (0, 0, 5), Velocities: (0, 0, 4)
Time: 1.6, Position: (0, 0, 11), Velocities: (0, 0, 6)
Time: 1.7, Position: (0, 0, 18), Velocities: (0, 0, 7)
Time: 1.8, Position: (0, 0, 25), Velocities: (0, 0, 7)
Time: 1.9, Position: (0, 0, 32), Velocities: (0, 0, 7)
Time: 2.0, Position: (0, 0, 38), Velocities: (0, 0, 6)
Time: 2.1, Position: (0, 0, 43), Velocities: (0, 0, 5)
Time: 2.2, Position: (0, 0, 47), Velocities: (0, 0, 4)
Time: 2.4, Position: (0, 0, 50), Velocities: (0, 0, 3)
Time: 2.5, Position: (0, 0, 52), Velocities: (0, 0, 2)
Time: 2.6, Position: (0, 0, 53), Velocities: (0, 0, 1)
Time: 2.7, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 2.8, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 2.9, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.0, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.1, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.3, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.4, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.5, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.6, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.7, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.8, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 3.9, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 4.0, Position: (0, 0, 53), Velocities: (0, 0, 0)
Time: 4.1, Position: (0, 0, 52), Velocities: (0, 0, -1)
Time: 4.2, Position: (0, 0, 51), Velocities: (0, 0, -1)
Time: 4.3, Position: (0, 0, 50), Velocities: (0, 0, -1)
Time: 4.5, Position: (0, 0, 49), Velocities: (0, 0, -1)
Time: 4.6, Position: (0, 0, 48), Velocities: (0, 0, -1)
Time: 4.7, Position: (0, 0, 47), Velocities: (0, 0, -1)
Time: 4.8, Position: (0, 0, 46), Velocities: (0, 0, -1)
Time: 4.9, Position: (0, 0, 45), Velocities: (0, 0, -1)
Time: 5.0, Position: (0, 0, 44), Velocities: (0, 0, -1)
Time: 5.1, Position: (0, 0, 43), Velocities: (0, 0, -1)
Time: 5.2, Position: (0, 0, 42), Velocities: (0, 0, -1)
Time: 5.3, Position: (0, 0, 41), Velocities: (0, 0, -1)
Time: 5.4, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 5.6, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 5.7, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 5.8, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 5.9, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.0, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.1, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.2, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.3, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.4, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.6, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.7, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.8, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 6.9, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.0, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.1, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.2, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.3, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.5, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.6, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.7, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.8, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 7.9, Position: (0, 0, 41), Velocities: (0, 0, 0)
Time: 8.0, Position: (0, 0, 41), Velocities: (0, 0, 0)
